,Age,MaritalStatus,EmpDepartment,EmpJobRole,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,EmpWorkLifeBalance,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,Attrition,Actual_PerformanceRating,Predicted_PerformanceRating_Logistic_Regression,Predicted_PerformanceRating_Support Vector Classifier_1,Predicted_PerformanceRating_Support_Vector_Classifier_2,Predicted_PerformanceRating_Decision_Tree_Classifier,Predicted_PerformanceRating_Random_Forest_Classifier,Predicted_PerformanceRating_AdaBoost_Classifier,Predicted_PerformanceRating_Gradient_Boosting_Classifier,Predicted_PerformanceRating_Stacking_Classifier
0,28,Single,Sales,Sales Executive,Travel_Frequently,7,3,3,55,3,2,0,No,14,4,3,2,1,No,3,3,3,3,3,3,3,3,3
1,25,Single,Sales,Sales Executive,Travel_Rarely,4,2,2,99,2,2,1,Yes,11,2,3,4,1,No,2,2,2,2,2,2,2,2,2
2,25,Single,Research & Development,Research Scientist,Travel_Rarely,1,3,4,40,3,1,1,No,18,4,2,2,2,No,3,4,3,3,3,3,3,3,3
3,31,Married,Sales,Sales Executive,Travel_Rarely,5,3,1,51,3,2,1,No,19,3,3,2,0,No,4,3,4,3,2,4,3,4,4
4,30,Married,Sales,Sales Representative,Travel_Rarely,2,1,3,72,3,1,1,No,18,1,3,0,0,No,3,3,3,3,3,3,3,3,3
5,45,Divorced,Development,Business Analyst,Travel_Rarely,7,3,2,59,3,3,2,No,17,3,3,0,0,No,3,3,3,3,3,3,3,3,3
6,32,Married,Sales,Sales Executive,Travel_Rarely,2,1,3,36,3,2,0,Yes,13,1,2,2,1,No,3,3,3,3,3,3,3,3,3
7,39,Divorced,Sales,Sales Executive,Travel_Frequently,20,3,3,83,3,2,2,No,18,4,3,1,2,No,3,4,4,3,3,3,3,3,3
8,33,Divorced,Human Resources,Human Resources,Travel_Rarely,3,2,4,57,3,1,3,Yes,11,3,4,3,0,No,3,3,3,3,3,3,3,3,3
9,24,Divorced,Development,Developer,Non-Travel,11,2,1,96,4,2,0,No,18,4,2,2,1,No,3,3,3,3,3,3,3,3,3
10,19,Single,Research & Development,Research Scientist,Travel_Rarely,9,2,3,54,3,1,1,No,25,3,3,1,0,No,4,4,4,4,4,4,4,4,4
11,32,Divorced,Research & Development,Manager R&D,Non-Travel,15,4,3,34,3,2,5,No,18,2,3,1,1,No,3,3,3,3,3,3,3,3,3
12,58,Married,Development,Developer,Travel_Rarely,23,4,4,94,3,3,1,No,12,4,2,10,15,Yes,3,3,3,3,3,3,3,3,3
13,40,Married,Research & Development,Laboratory Technician,Travel_Frequently,11,3,4,73,3,2,1,No,11,1,4,9,9,No,3,3,3,3,3,3,3,3,3
14,34,Single,Sales,Sales Executive,Non-Travel,23,4,2,72,3,2,0,No,20,3,3,5,8,No,2,2,2,2,2,2,2,2,2
15,54,Divorced,Development,Developer,Travel_Rarely,19,4,4,95,3,2,9,Yes,11,2,3,3,1,No,3,3,3,3,3,3,3,3,3
16,36,Married,Development,Developer,Travel_Rarely,1,3,3,35,3,2,0,No,15,1,3,7,0,No,3,3,3,3,3,3,3,3,3
17,60,Married,Development,Developer,Travel_Rarely,7,3,1,41,3,5,5,No,11,4,1,8,11,No,3,3,3,3,3,3,3,3,3
18,43,Single,Research & Development,Research Scientist,Non-Travel,9,3,1,52,3,1,4,No,13,3,2,2,1,No,2,2,2,2,2,2,2,2,2
19,29,Married,Development,Developer,Travel_Rarely,3,4,2,93,2,3,1,No,18,3,3,2,0,No,3,3,3,3,3,3,3,3,3
20,38,Divorced,Human Resources,Human Resources,Non-Travel,2,3,1,100,3,1,5,No,13,4,3,10,3,No,2,2,2,2,3,2,3,2,2
21,36,Divorced,Sales,Sales Executive,Non-Travel,15,4,4,88,1,2,1,No,24,1,2,12,11,No,4,4,4,4,4,4,4,4,4
22,44,Single,Human Resources,Human Resources,Travel_Rarely,1,4,1,50,2,2,4,No,11,2,4,2,0,No,3,3,3,3,3,3,3,3,3
23,40,Married,Research & Development,Research Scientist,Travel_Frequently,26,2,3,92,2,2,3,Yes,13,4,1,1,0,No,3,3,3,3,3,3,3,3,3
24,31,Divorced,Research & Development,Research Scientist,Non-Travel,3,2,3,48,3,1,1,Yes,13,4,4,2,2,No,3,3,3,3,3,3,3,3,3
25,30,Married,Research & Development,Senior Manager R&D,Travel_Rarely,20,3,3,85,3,2,0,No,15,3,2,2,0,No,3,3,3,3,3,3,3,3,3
26,27,Single,Development,Developer,Travel_Rarely,4,3,2,76,3,1,1,No,19,3,3,1,0,No,3,4,4,3,3,3,3,3,3
27,36,Married,Research & Development,Research Scientist,Travel_Rarely,2,4,4,73,3,2,4,Yes,22,4,3,0,0,No,4,4,4,4,4,4,4,4,4
28,38,Married,Research & Development,Senior Manager R&D,Travel_Frequently,10,1,3,66,3,1,0,No,17,2,2,1,0,No,3,3,3,3,3,3,3,3,3
29,39,Divorced,Data Science,Data Scientist,Travel_Rarely,1,4,3,96,3,1,7,No,14,3,3,2,1,No,3,3,3,3,3,3,3,3,3
30,31,Single,Development,Delivery Manager,Travel_Rarely,7,4,3,39,3,3,1,Yes,14,3,2,9,4,No,3,3,3,3,3,3,3,3,3
31,58,Single,Sales,Sales Executive,Travel_Rarely,10,4,4,37,3,4,0,No,13,3,2,10,1,No,3,3,3,3,3,3,3,3,3
32,19,Single,Research & Development,Research Scientist,Non-Travel,10,3,1,96,2,1,1,Yes,25,2,4,1,0,Yes,4,4,4,4,4,4,4,4,4
33,44,Married,Development,Developer,Travel_Rarely,8,4,1,62,4,1,2,Yes,24,3,2,2,0,No,3,4,4,3,3,3,4,3,3
34,39,Divorced,Development,Senior Developer,Travel_Frequently,1,1,2,52,3,5,1,Yes,14,3,3,8,1,No,2,2,2,3,2,2,3,2,3
35,34,Single,Development,Developer,Travel_Frequently,7,3,1,66,1,2,1,Yes,24,4,3,7,0,Yes,4,4,4,3,2,4,4,4,4
36,34,Single,Development,Developer,Travel_Rarely,8,2,2,96,3,2,3,No,11,4,3,1,4,No,3,3,3,3,3,3,3,3,3
37,35,Single,Development,Developer,Travel_Rarely,9,4,3,97,2,2,9,No,19,3,3,1,0,No,3,3,4,3,3,3,3,3,3
38,42,Divorced,Sales,Sales Executive,Travel_Rarely,12,4,2,77,3,2,3,Yes,12,3,3,0,0,No,3,3,3,3,3,3,3,3,3
39,37,Married,Finance,Finance Manager,Travel_Rarely,19,3,3,85,3,2,3,No,17,1,2,3,0,No,3,3,3,3,3,3,3,3,3
40,29,Single,Research & Development,Laboratory Technician,Travel_Rarely,7,3,4,59,3,1,3,No,14,2,3,2,1,No,3,3,3,3,3,3,3,3,3
41,27,Single,Sales,Sales Executive,Travel_Rarely,2,2,1,89,4,2,0,No,14,2,2,7,0,No,3,3,3,3,2,3,2,3,3
42,33,Married,Development,Developer,Travel_Rarely,2,2,1,39,3,1,7,No,20,1,4,7,1,Yes,3,4,4,3,3,4,4,3,4
43,40,Married,Sales,Sales Executive,Travel_Frequently,2,4,2,62,3,2,5,No,12,4,3,0,0,No,3,3,3,3,3,3,3,3,3
44,52,Divorced,Sales,Sales Representative,Non-Travel,29,4,1,40,3,1,2,No,15,2,2,8,0,No,3,3,3,3,3,3,2,3,3
45,35,Divorced,Sales,Sales Executive,Travel_Frequently,11,2,4,54,3,2,1,No,11,4,3,2,0,No,3,3,3,3,3,3,3,3,3
46,32,Married,Research & Development,Manager R&D,Travel_Rarely,7,2,4,79,3,2,1,No,18,1,3,4,1,Yes,3,3,3,3,3,3,3,3,3
47,41,Single,Sales,Sales Executive,Travel_Rarely,1,2,2,94,3,2,8,Yes,11,1,1,4,0,Yes,2,3,2,3,4,2,3,2,3
48,51,Divorced,Development,Technical Lead,Travel_Rarely,2,3,4,84,1,2,5,No,18,4,3,1,1,No,3,3,4,3,3,3,3,3,3
49,29,Married,Research & Development,Research Scientist,Travel_Rarely,1,4,1,36,3,1,9,Yes,14,2,4,2,2,Yes,2,2,2,2,2,2,3,2,2
50,35,Married,Sales,Sales Executive,Travel_Frequently,18,5,2,71,3,3,1,No,22,4,2,8,1,No,2,2,2,2,2,2,2,2,2
51,21,Single,Research & Development,Senior Manager R&D,Travel_Rarely,10,3,3,36,2,1,1,No,13,1,2,0,1,Yes,3,3,3,3,3,3,3,3,3
52,29,Divorced,Finance,Finance Manager,Travel_Frequently,2,1,1,87,3,2,1,No,19,4,4,4,1,No,2,2,2,2,2,2,2,2,2
53,29,Divorced,Research & Development,Manager R&D,Travel_Rarely,28,4,3,93,3,1,4,No,22,1,3,5,1,No,4,4,4,4,4,4,3,4,4
54,29,Married,Development,Business Analyst,Travel_Rarely,2,3,3,76,3,1,0,No,23,4,3,4,0,No,4,4,4,4,4,4,4,4,4
55,40,Divorced,Data Science,Data Scientist,Travel_Rarely,2,2,1,49,3,5,0,No,19,4,3,7,3,No,2,2,2,2,2,2,2,2,2
56,56,Married,Research & Development,Manager R&D,Travel_Rarely,1,2,1,90,3,1,2,No,22,4,4,2,1,No,4,4,4,4,4,4,4,4,4
57,35,Single,Sales,Sales Executive,Travel_Rarely,1,4,3,32,2,2,0,No,14,2,3,13,2,No,3,3,3,3,3,3,3,3,3
58,34,Divorced,Research & Development,Healthcare Representative,Travel_Rarely,9,3,4,86,3,3,0,No,11,4,2,7,1,No,3,3,3,3,3,3,3,3,3
59,32,Divorced,Finance,Finance Manager,Travel_Rarely,2,3,4,45,3,2,0,No,13,3,2,5,1,No,3,3,3,3,3,3,3,3,3
60,24,Divorced,Research & Development,Laboratory Technician,Travel_Rarely,29,1,2,91,3,1,1,No,13,2,4,2,1,No,2,2,2,2,2,2,2,2,2
61,36,Married,Development,Developer,Travel_Rarely,5,4,2,82,2,1,9,Yes,14,4,4,1,0,No,3,3,3,3,3,3,3,3,3
62,50,Single,Sales,Sales Executive,Travel_Frequently,1,4,4,81,3,2,3,Yes,14,4,3,0,0,Yes,3,3,4,3,3,3,3,3,3
63,25,Single,Sales,Sales Executive,Travel_Rarely,5,3,3,46,2,2,1,Yes,11,4,3,4,0,Yes,3,3,3,3,3,3,3,3,3
64,33,Single,Sales,Sales Executive,Travel_Rarely,16,3,1,69,3,2,5,No,15,3,3,2,0,Yes,3,3,3,3,3,3,3,3,3
